Movie_Name,Release_Period,Whether_Remake,Whether_Franchise,Genre,New_Actor,New_Director,New_Music_Director,Lead_Star,Director,Music_Director,Screens,Budget,Revenue,Profit_Factor,Year,Duration,Rating,Votes
Bheja Fry,Holiday,No,No,comedy,No,Yes,No,Vinay Pathak,Sagar Ballary,Sagar Desai,120,15000000,125800000,8.386666667,2007,95,7.6,11444
Aashiqui 2,Normal,Yes,No,love_story,No,No,No,Aditya Roy Kapoor,Mohit Suri,Mithoon,1150,150000000,1093800000,7.292,2013,132,7.0,27357
Tanu Weds Manu Returns,Normal,No,Yes,rom__com,No,No,Yes,R. Madhavan,Anand L. Rai,Surj RDB,2150,390000000,2436435000,6.247269231,2015,128,7.6,26843
Vivah,Normal,No,No,drama,No,No,No,Shahid Kapoor,Sooraj Barjatya,Ravindra Jain,200,80000000,495600000,6.195,2006,160,6.6,9288
Vicky Donor,Normal,No,No,comedy,Yes,No,Yes,Ayushman Khurana,Shoojit Sircar,Rochak Kohli,575,100000000,613200000,6.132,2012,126,7.8,40589
Malamaal Weekly,Normal,No,No,comedy,No,No,Yes,Riteish Deshmukh,Priyadarshan,Uttankk V. Vorra,300,70000000,427680000,6.109714286,2006,137,7.0,6120
Dabangg,Holiday,No,No,action,No,Yes,No,Salman Khan,Abhinav Kashyap,Sajid - Wajid,1900,410000000,2192700000,5.34804878,2010,126,6.2,30194
Dangal,Holiday,No,No,drama,No,No,No,Aamir Khan,Nitish Tiwari,Pritam,4250,1320000000,7024750000,5.321780303,2016,161,8.4,165074
Murder 2,Normal,No,Yes,thriller,No,No,No,Emraan Hashmi,Mohit Suri,Mithoon,1300,130000000,678450000,5.218846154,2011,127,6.2,6662
Salaam Namaste,Normal,No,No,rom__com,No,Yes,No,Saif Ali Khan,Siddharth Anand,Vishal - Shekhar,325,110000000,572300000,5.202727273,2005,158,6.2,6981
Bunty Aur Babli,Normal,No,No,comedy,No,No,No,Abhishek Bachchan,Shaad Ali,Shankar - Ehsaan - Loy,475,125000000,637405000,5.09924,2005,170,6.2,6550
PK,Normal,No,No,drama,No,No,No,Aamir Khan,Rajkumar Hirani,Ajay - Atul,3600,1220000000,6160362500,5.049477459,2014,153,8.1,168150
Bajrangi Bhaijaan,Holiday,No,No,masala,No,No,No,Salman Khan,Kabir Khan,Pritam,4100,1250000000,6039940000,4.831952,2015,163,8.0,78448
Kahaani,Normal,No,No,thriller,No,No,No,Vidya Balan,Sujoy Ghosh,Vishal - Shekhar,1100,200000000,917100000,4.5855,2012,122,8.1,59060
Kyaa Kool Hai Hum,Holiday,No,No,comedy,No,No,No,Tusshar Kapoor,Sangeeth Sivan,Anu Malik,250,50000000,228500000,4.57,2005,172,6.1,3296
3 Idiots,Holiday,No,No,drama,No,No,No,Aamir Khan,Rajkumar Hirani,Shantanu Moitra,1750,770000000,3491035000,4.533811688,2009,170,8.4,357889
Kis Kisko Pyaar Karoon,Holiday,No,No,comedy,No,No,Yes,Kapil Sharma,Abbas - Mustan,Dr. Zeus,1700,160000000,716000000,4.475,2015,133,5.7,5679
Badrinath Ki Dulhania,Holiday,No,Yes,love_story,No,No,Yes,Varun Dhawan,Shashank Khaitan,Akhil Sachdeva,2800,440000000,1948152500,4.427619318,2017,139,6.1,10865
Neerja,Holiday,No,No,drama,No,Yes,Yes,Sonam Kapoor,Ram Madhvani,Vishal Khurana,1000,280000000,1187190000,4.239964286,2016,122,7.6,21470
Queen,Normal,No,No,drama,No,Yes,No,Kangana Ranaut,Vikas Bahl,Amit Trivedi,800,230000000,974180000,4.235565217,2013,146,8.2,61852
Rab Ne Bana Di Jodi,Normal,No,No,love_story,No,No,No,Shahrukh Khan,Aditya Chopra,Salim - Sulaiman,1350,390000000,1574175000,4.036346154,2008,167,7.2,44985
Pyaar Ka Punchnama 2,Normal,No,Yes,comedy,No,No,No,Kartik Tiwari,Luv Ranjan,Hitesh Sonik,1400,220000000,881767500,4.008034091,2015,137,7.2,14259
Hindi Medium,Normal,No,No,comedy,No,No,No,Irrfan Khan,Saket Chaudhary,Sachin - Jigar,1050,230000000,918550000,3.993695652,2017,132,7.9,24676
Sultan,Holiday,No,No,masala,No,No,No,Salman Khan,Ali Abbas Zafar,Vishal - Shekhar,4350,1450000000,5772875000,3.981293103,2016,170,7.0,41777
Delhi Belly,Holiday,No,No,comedy,No,Yes,No,Imran Khan,Abhinay Deo,Ram Sampath,1250,230000000,911950000,3.965,2011,103,7.6,28299
